channel key,PMT_type,cable_label,Teststand-proposed voltage,1E7 Gain fit,5E6 Gain fit,Notes,,,,Total Good LUX PMTs,Total Good ETEL PMTs,Total Good Hamamtsu  PMTs,Total Good Watchmen,Total Good Watchboy,Total Good
332,LUX,E2,1562,1694,1538,good,,,,,,,,,
333,LUX,N2,-9999,-9999,-9999,-9999,,,,,,,,,
334,LUX,S1,1702,1728,1544,good,,,,Total Low gain LUX,Total Low Gain ETEL,Total Low Gain Hamamatsu,Total Low Gain Watchmen,Total Low Gain Watchboy,Total Low Gain
335,LUX,S4,1197,1372,1253,good,,,,,,,,,
336,LUX,W4,1471,1661,1507,good,,,,,,,,,
337,LUX,N4,1714,1671,1492,good,,,,Total Ped only LUX,Total Ped only ETEL,Total Ped only Hamamatsu,Total Ped only Watchmen,Total Low Gain Watchboy,Total Ped Only
338,LUX,S2,1239,-9999,-9999,"Failed fits (bad baseline, bad SPE distribution)",,,,,,,,,
339,LUX,E3,1639,1809,1648,good,,,,Total Off Lux,Total Off ETEL,Total Off Hamamatsu,Total Off Watchmen,Total Off Watchboy,Total Off
340,LUX,E4,1438,1605,1456,good,,,,,,,,,
341,LUX,S5,1290,1411,1286,good,,,,Total Weird Lux,Total weird ETEL,Total weird Hamamatsu,Total weird Watchmen,Total weird Watchboy,Total weird
342,LUX,N5,1747,-9999,-9999,-9999,,,,,,,,,
343,LUX,W3,1236,1404,1273,good,,,,,,,,,
344,LUX,W1,1316,-9999,-9999,-9999,,,,,,,,,
345,LUX,E5,1716,-9999,-9999,-9999,,,,,,,,,
346,LUX,E1,-9999,-9999,-9999,-9999,,,,,,,,,
347,LUX,N1,1241,1388,1259,good,,,,,,,,,
348,LUX,W2,1250,1412,1285,good,,,,,,,,,
349,LUX,S3,-9999,-9999,-9999,-9999,,,,,,,,,
350,LUX,N3,1590,1726,1560,good,,,,,,,,,
351,LUX,W5,1558,1682,1536,good,,,,,,,,,
352,ETEL,116,-9999,-9999,-9999,low gain (<5E5 at 1900 V),,,,,,,,,
353,ETEL,134,1811,-9999,-9999,"low gain (~1E7 at 1900 V, bad SPE distribution)",,,,,,,,,
354,ETEL,146,1658,1721,1624,good,,,,,,,,,
355,ETEL,127,1403,-9999,-9999,Failed fits (bad SPE distribution),,,,,,,,,
356,ETEL,117,1267,1328,1277,good,,,,,,,,,
357,ETEL,701,1587,1692,1601,good,,,,,,,,,
358,ETEL,704,1932,1993,1938,good,,,,,,,,,
359,ETEL,719,1707,-9999,-9999,-9999,,,,,,,,,
360,ETEL,105,1550,1606,1521,good,,,,,,,,,
361,ETEL,703,1725,1923,1818,good,,,,,,,,,
362,ETEL,119,1672,1956,1857,good,,,,,,,,,
363,ETEL,112,1577,1757,1648,good,,,,,,,,,
364,ETEL,135,1408,1453,1390,good,,,,,,,,,
365,ETEL,136,1367,1447,1379,good,,,,,,,,,
366,ETEL,716,1663,1865,1754,good,,,,,,,,,
367,ETEL,103,1553,1633,1546,good,,,,,,,,,
368,ETEL,129,1426,1508,1435,good,,,,,,,,,
369,ETEL,715,-9999,-9999,-9999,-9999,,,,,,,,,
370,ETEL,128,1448,1487,1417,good,,,,,,,,,
371,ETEL,714,1389,1524,1438,good,,,,,,,,,
372,Hamamatsu,SQ0370,1600,1929,1813,good,,,,,,,,,
373,Hamamatsu,SQ0356,1690,2067,1889,good,,,,,,,,,
374,Hamamatsu,SQ0397,1700,2037,1864,good,,,,,,,,,
375,Hamamatsu,SQ0371,1510,1842,1674,good,,,,,,,,,
376,Hamamatsu,SQ0395,1630,1968,1777,good,,,,,,,,,
377,Hamamatsu,SQ0402,1490,1825,1641,good,,,,,,,,,
378,Hamamatsu,SQ0377,1530,1895,1719,good,,,,,,,,,
379,Hamamatsu,SQ0381,1620,1922,1746,good,,,,,,,,,
380,Hamamatsu,SQ0375,1550,1952,1764,good,,,,,,,,,
381,Hamamatsu,SQ0364,1590,1921,1742,good,,,,,,,,,
382,Watchman,NB0116,1500,1652,1504,good,,,,,,,,,
383,Hamamatsu,SQ0385,1580,1886,1693,good,,,,,,,,,
384,Hamamatsu,SQ0365,1570,1947,1740,good,,,,,,,,,
385,Hamamatsu,SQ0358,1590,1895,1742,good,,,,,,,,,
386,Hamamatsu,SQ0363,1730,1966,1764,good,,,,,,,,,
387,Hamamatsu,SQ0361,1610,1961,1769,good,,,,,,,,,
388,Hamamatsu,SQ0359,1510,1838,1658,good,,,,,,,,,
389,Hamamatsu,SQ0382,1650,1995,1791,good,,,,,,,,,
390,Hamamatsu,SQ0400,1570,1869,1697,good,,,,,,,,,
391,Hamamatsu,SQ0362,1580,1787,1617,good,,,,,,,,,
392,Hamamatsu,SQ0376,1600,2010,1792,good,,,,,,,,,
